gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
CXorf30	NaN	NaN	NaN	196896	49812	0	0	0	0	50	1	4727100	1	1
CXorf36	72853	NaN	50	133266	39732	0	0	0	0	50	0	2197230	1	1
CXorf38	467563	NaN	63	97860	26250	0	0	0	0	50	0	2205714	1	1
CXorf40A	187616	NaN	16	48468	14028	0	0	0	0	50	0	2440494	1	1
CXorf40B	280868	NaN	34	47208	13902	0	0	0	0	50	1	2092566	1	1
CXorf41	229024	NaN	26	67998	16296	0	0	0	0	50	0	2491230	1	1
CXorf48	228366	NaN	23	80472	22470	0	0	0	0	50	0	2287866	1	1
CXorf49	NaN	NaN	NaN	300972	93156	0	0	0	0	50	1	4770444	1	1
CXorf49B	NaN	NaN	NaN	300972	93156	0	0	0	0	50	1	4770444	1	1
CXorf51	NaN	NaN	NaN	65436	18984	0	0	0	0	50	1	4696272	1	1
CXorf56	617823	NaN	30	70434	17388	0	0	0	0	50	0	2672964	1	1
CXorf57	148900	NaN	12	260652	69468	0	0	0	0	50	1	2084964	1	1
CXorf58	528624	NaN	37	103614	26292	0	0	0	0	50	1	2597658	1	1
CXorf59	3834	NaN	-17	156366	38808	0	0	0	0	50	2	2625294	1	1
CXorf61	82720	NaN	4	33894	9954	0	0	0	0	16	0	700770	1	1
CXorf64	NaN	NaN	NaN	86142	27636	0	0	0	0	50	1	4704924	1	1
CXorf65	759088	NaN	27	58086	14238	0	0	0	0	50	0	3056970	1	1
CXorf66	66755	NaN	14	108360	29736	0	0	0	0	50	0	2595432	1	1
CYB561	874574	267	-20	73920	23856	0	0	0	0	50	0	2422854	1	1
CYB561D1	1056159	272	37	88200	23310	0	0	0	0	50	0	2120874	1	1
CYB561D2	843769	206	51	62958	22848	0	0	0	0	50	1	2415336	1	1
CYB5A	152675	989	26	44394	10542	0	0	0	0	50	0	2279340	1	1
CYB5B	1161561	NaN	46	47124	12222	0	0	0	0	50	0	2445744	1	1
CYB5D1	2148615	337	24	68544	19530	0	0	0	0	50	0	3302880	1	1
CYB5D2	753798	357	30	77406	24276	0	0	0	0	50	0	2511348	1	1
CYB5R1	421206	389	30	92064	27888	0	0	0	0	50	0	2432052	1	1
CYB5R2	100503	853	13	86352	22386	0	0	0	0	50	0	2368296	1	1
CYB5R3	858524	189	74	105546	28266	0	0	0	0	50	1	2562420	1	1
CYB5R4	87867	870	-12	164640	40236	0	0	0	0	50	1	3729852	1	1
CYB5RL	465615	313	26	96054	26418	0	0	0	0	50	0	2168586	1	1
CYBA	802673	189	41	58548	18564	0	0	0	0	50	2	2448054	1	1
CYBASC3	1394229	286	57	77406	23394	0	0	0	0	50	0	2114280	1	1
CYBB	105298	NaN	9	175056	47082	0	0	0	0	50	1	2912742	1	1
CYBRD1	486534	352	34	93198	16800	0	0	0	0	50	1	2072070	1	1
CYC1	2720766	211	27	95928	30576	0	0	0	0	50	0	3110562	1	1
CYCS	254010	319	11	33054	8022	0	0	0	0	50	0	2399838	1	1
CYFIP1	352283	539	-19	423486	113400	0	0	0	0	50	1	3224088	1	1
CYFIP2	266925	1129	33	387660	101472	0	0	0	0	50	0	2560404	1	1
CYGB	1016866	197	24	57246	16464	0	0	0	0	50	0	2426088	1	1
CYHR1	2043455	200	36	137844	43092	0	0	0	0	50	0	1997100	1	1
CYLC1	19326	NaN	-45	200760	48216	0	0	0	0	50	0	2562168	1	1
CYLC2	13384	1215	-31	109284	24906	0	0	0	0	50	0	3029712	1	1
CYLD	279624	792	2	293370	76440	0	0	0	0	50	0	2424618	1	1
CYP11A1	641004	222	46	157206	44142	0	0	0	0	50	0	2674728	1	1
CYP11B1	447193	438	36	150696	44100	0	0	0	0	50	0	2462838	1	1
CYP11B2	447193	438	36	150486	44310	0	0	0	0	50	0	2462838	1	1
CYP17A1	883280	188	44	152544	43386	0	0	0	0	50	0	2253048	1	1
CYP19A1	263003	535	17	155442	39606	0	0	0	0	50	0	2739534	1	1
CYP1A1	746043	199	41	152586	44352	0	0	0	0	50	2	2588880	1	1
CYP1A2	746043	199	41	152712	45738	0	0	0	0	50	2	2588880	1	1
CYP1B1	716797	384	25	157164	49350	0	0	0	0	50	0	3501078	1	1
CYP20A1	417679	298	23	143640	37422	0	0	0	0	50	0	2403660	1	1
CYP21A2	NaN	NaN	NaN	292740	90930	0	0	0	0	50	1	4768218	1	1
CYP24A1	158398	386	-31	157752	42462	0	0	0	0	50	1	2603370	1	1
CYP26A1	558273	470	18	147966	44058	0	0	0	0	50	0	2270562	1	1
CYP26B1	72898	411	-5	149520	46914	0	0	0	0	50	2	2418864	1	1
CYP26C1	558273	470	18	147630	52458	0	0	0	0	50	0	2270562	1	1
CYP27A1	1077853	296	40	158004	47124	0	0	0	0	50	1	2948736	1	1
CYP27B1	1160849	344	39	147210	49224	0	0	0	0	50	0	2380266	1	1
CYP27C1	354277	226	19	112140	32382	0	0	0	0	50	0	2567418	1	1
CYP2A13	1004808	354	10	149646	41748	0	0	0	0	50	0	1579326	1	1
CYP2A6	1187304	275	31	150024	41370	0	0	0	0	50	0	2060310	1	1
CYP2B6	1041792	375	14	148092	42168	0	0	0	0	50	0	1847748	1	1
CYP2C18	250078	725	1	150318	39312	0	0	0	0	50	0	2757300	1	1
CYP2C19	254705	831	-17	149562	39942	0	0	0	0	50	0	2360064	1	1
CYP2C8	318306	717	-10	149856	40026	0	0	0	0	50	0	2616684	1	1
CYP2C9	278564	721	-15	150276	39606	0	0	0	0	50	2	2049810	1	1
CYP2D6	1296288	363	43	145992	46788	0	0	0	0	50	0	2700432	1	1
CYP2E1	563924	525	-10	150150	40866	0	0	0	0	50	0	2096766	1	1
CYP2F1	1016551	354	11	146958	43554	0	0	0	0	50	0	1700370	1	1
CYP2J2	60418	824	-6	153132	41286	0	0	0	0	50	0	2194038	1	1
CYP2R1	353856	596	-13	150570	41202	0	0	0	0	50	1	1836408	1	1
CYP2S1	1098360	209	13	145908	49266	0	0	0	0	50	0	2147208	1	1
CYP2U1	144587	735	6	161448	46830	0	0	0	0	50	1	2941596	1	1
CYP2W1	765060	346	34	140238	49644	0	0	0	0	50	0	2461116	1	1
CYP39A1	113763	596	0	146370	36834	0	0	0	0	50	0	2287530	1	1
CYP3A4	1430454	438	42	155904	40656	0	0	0	0	50	0	2734578	1	1
CYP3A43	1535089	438	36	157668	39396	0	0	0	0	50	0	2564394	1	1
CYP3A5	1395063	430	34	154896	41538	0	0	0	0	50	0	2145864	1	1
CYP3A7	1430454	438	42	155316	41370	0	0	0	0	50	0	2734578	1	1
CYP4A11	492091	578	5	158256	44100	0	0	0	0	50	0	2644026	1	1
CYP4A22	364960	414	3	158508	44100	0	0	0	0	50	0	2405088	1	1
CYP4B1	658240	475	8	157122	42588	0	0	0	0	50	0	2241162	1	1
CYP4F11	843515	575	12	160608	43764	0	0	0	0	50	0	2558052	1	1
CYP4F12	865205	605	21	160692	43932	0	0	0	0	50	0	2626764	1	1
CYP4F2	825892	575	15	158844	44016	0	0	0	0	50	0	2614416	1	1
CYP4F22	772367	543	20	160818	46200	0	0	0	0	50	0	2887962	1	1
CYP4F3	852124	605	29	158844	44016	0	0	0	0	50	2	3041052	1	1
CYP4F8	852124	605	29	158088	44646	0	0	0	0	50	2	3041052	1	1
CYP4V2	371112	606	-2	161826	42042	0	0	0	0	50	1	2616978	1	1
CYP4X1	388889	479	4	157584	40740	0	0	0	0	50	1	2375940	1	1
CYP4Z1	366455	479	4	157878	39186	0	0	0	0	50	1	2344734	1	1
CYP51A1	691564	461	26	154854	42462	0	0	0	0	50	0	2569602	1	1
CYP7A1	200469	608	11	153384	40278	0	0	0	0	50	1	2702154	1	1
CYP7B1	8894	1018	22	153258	40908	0	0	0	0	50	0	2496060	1	1
CYP8B1	301212	447	21	146916	42840	0	0	0	0	50	0	2901864	1	1
CYR61	296507	345	13	114828	31584	0	0	0	0	50	0	2624160	1	1
CYS1	863812	214	44	44982	16128	0	0	0	0	50	0	2655366	1	1
CYSLTR1	486217	NaN	-9	101010	27510	0	0	0	0	50	0	2406138	1	1
CYSLTR2	404943	430	46	101430	29988	0	0	0	0	50	0	2773722	1	1
CYTH1	986469	250	32	127092	30030	0	0	0	0	50	0	2650578	1	1
CYTH2	1418188	209	41	124446	32676	0	0	0	0	50	1	3843000	1	1
CYTH4	902502	201	61	124614	30744	0	0	0	0	50	0	1976940	1	1
CYTIP	79169	895	18	110754	29106	0	0	0	0	50	1	2680146	1	1
CYTL1	76400	557	36	40572	12978	0	0	0	0	50	0	2502780	1	1
CYTSA	702019	200	38	338226	91938	0	0	0	0	50	0	2606856	1	1
CYTSB	302887	339	-13	326928	92526	0	0	0	0	50	1	2176020	1	1
CYorf15A	0	0	0	41412	9996	0	0	0	0	50	0	2497992	1	1
CYorf15B	0	0	0	56028	14280	0	0	0	0	50	0	2497992	1	1
D2HGDH	960711	380	30	152376	49476	0	0	0	0	50	1	2321340	1	1
D4S234E	143657	525	46	56490	15834	0	0	0	0	50	1	3059658	1	1
DAAM1	156241	405	32	335874	84588	0	0	0	0	50	0	2597826	1	1
DAB1	22463	1004	-12	170772	45948	0	0	0	0	50	4	2814252	1	1
DAB2IP	448984	475	22	344568	103992	0	0	0	0	50	0	2760996	1	1
DACH1	30451	1135	-22	209370	63672	0	0	0	0	50	2	2463720	1	1
DACH2	49531	NaN	-32	182532	51198	0	0	0	0	50	0	2577498	1	1
DACT1	303507	489	32	242550	75348	0	0	0	0	50	1	2360064	1	1
DACT2	NaN	NaN	NaN	220668	74046	0	0	0	0	50	1	4751334	1	1
DACT3	1139694	347	28	174006	65898	0	0	0	0	50	0	2520084	1	1
DAD1	975314	380	49	33936	10416	0	0	0	0	50	1	2842014	1	1
DAG1	1657622	236	28	254226	84966	0	0	0	0	50	0	2715384	1	1
DAGLA	1235604	208	58	307650	96180	0	0	0	0	50	0	2983974	1	1
DAGLB	NaN	NaN	NaN	205674	55776	0	0	0	0	50	1	4733064	1	1
DAK	1394229	286	57	169806	55986	0	0	0	0	50	0	2114280	1	1
DALRD3	1799657	241	41	159810	51870	0	0	0	0	50	0	2676240	1	1
DAND5	1886809	335	40	53676	18900	0	0	0	0	50	0	2146032	1	1
DAOA	13092	1235	-28	62202	12264	0	0	0	0	50	2	2692662	1	1
DAP	630950	435	29	32172	8274	0	0	0	0	50	0	2457252	1	1
DAP3	2240116	152	32	124614	32256	0	0	0	0	50	0	2792244	1	1
DAPK1	141078	494	26	431382	121632	0	0	0	0	50	0	2525208	1	1
DAPK2	678778	261	45	116214	29568	0	0	0	0	50	0	2594508	1	1
DAPK3	2173603	207	30	136290	39480	0	0	0	0	50	0	2500470	1	1
DAPL1	270644	361	14	33474	9114	0	0	0	0	50	0	2527938	1	1
DAPP1	204991	693	19	87654	22848	0	0	0	0	50	0	2119866	1	1
DARC	99569	785	14	97398	34146	0	0	0	0	50	1	2179338	1	1
DARS	440321	410	30	158088	39228	0	0	0	0	50	0	2514120	1	1
DARS2	442819	385	11	198618	53634	0	0	0	0	50	1	3163902	1	1
DAXX	1456953	262	30	223944	67242	0	0	0	0	50	0	2471070	1	1
DAZ1	NaN	NaN	NaN	231756	63462	0	0	0	0	50	1	4740750	1	1
DAZ2	NaN	NaN	NaN	344778	91434	0	0	0	0	50	1	4768722	1	1
DAZ3	NaN	NaN	NaN	407274	108318	0	0	0	0	50	1	4785606	1	1
DAZ4	NaN	NaN	NaN	470652	126714	0	0	0	0	50	1	4804002	1	1
DAZAP1	2352825	221	38	133602	37884	0	0	0	0	50	0	2162496	1	1
DAZAP2	494861	194	40	93492	19782	0	0	0	0	50	0	2067954	1	1
DAZL	140687	470	24	92484	24444	0	0	0	0	50	0	2280768	1	1
DBC1	3696	1010	-25	230202	61362	0	0	0	0	50	2	2689722	1	1
DBF4	202733	758	14	209916	50778	0	0	0	0	50	0	2606058	1	1
DBF4B	1261173	175	29	190554	54264	0	0	0	0	50	0	2554902	1	1
DBH	765804	481	31	185472	53928	0	0	0	0	50	0	3040968	1	1
DBI	203559	497	35	58632	15204	0	0	0	0	50	0	2454480	1	1
DBN1	1079488	261	50	204834	59262	0	0	0	0	50	1	1948758	1	1
DBNDD1	1056657	221	35	56658	16926	0	0	0	0	50	0	1934142	1	1
DBNDD2	1037999	382	35	55146	15666	0	0	0	0	50	1	2056110	1	1
DBP	1597109	242	31	91392	33348	0	0	0	0	50	0	2451750	1	1
DBR1	190056	464	9	166698	42840	0	0	0	0	50	1	2633610	1	1
DBT	314135	495	9	147546	40320	0	0	0	0	50	0	2468130	1	1
DBX1	175444	453	-5	109494	36792	0	0	0	0	50	1	2277534	1	1
DBX2	126551	805	-18	98406	31626	0	0	0	0	50	2	2651376	1	1
DCAF10	477149	524	35	163254	51702	0	0	0	0	50	0	2449692	1	1
DCAF11	992350	355	19	168294	45528	0	0	0	0	50	0	2510298	1	1
DCAF12	779457	142	39	136080	39564	0	0	0	0	50	1	2478714	1	1
DCAF12L1	11311	NaN	-16	132636	43260	0	0	0	0	50	1	2946426	1	1
DCAF12L2	11596	NaN	-29	131838	43554	0	0	0	0	50	2	2725002	1	1
DCAF13	430771	673	28	186102	51156	0	0	0	0	50	0	2710554	1	1
DCAF15	930314	231	32	180726	52752	0	0	0	0	50	0	2180766	1	1
DCAF16	271201	1073	21	63000	19026	0	0	0	0	50	0	2485434	1	1
DCAF17	514096	271	38	161070	42672	0	0	0	0	50	0	2309118	1	1
DCAF4L1	272281	261	25	114996	35322	0	0	0	0	50	0	2645790	1	1
DCAF4L2	26672	994	-27	114366	35574	0	0	0	0	50	2	3015306	1	1
DCAF5	680338	289	33	279006	81480	0	0	0	0	50	0	2857386	1	1
DCAF6	505920	417	13	270312	72534	0	0	0	0	50	0	2322852	1	1
DCAF7	934619	247	-1	103824	28980	0	0	0	0	50	0	2088912	1	1
DCAF8	866729	355	27	182994	49098	0	0	0	0	50	0	2564730	1	1
DCAF8L1	10501	NaN	25	177618	49560	0	0	0	0	50	0	2407986	1	1
DCAF8L2	NaN	NaN	NaN	188412	50988	0	0	0	0	50	1	4728276	1	1
DCAKD	831501	191	28	67914	21294	0	0	0	0	50	1	2810220	1	1
DCBLD1	189294	465	9	181272	48804	0	0	0	0	50	1	2674854	1	1
DCBLD2	337232	411	6	234738	66150	0	0	0	0	50	0	2029692	1	1
DCC	2849	995	-34	435708	125748	0	0	0	0	50	1	2919294	1	1
DCD	615189	494	31	34398	9828	0	0	0	0	50	0	2976834	1	1
DCDC1	84163	938	-25	108654	29064	0	0	1	0	8	1	347130	1	1
DCDC2	362257	711	-12	157962	39732	0	0	0	0	50	2	2345322	1	1
DCDC2B	1460758	218	29	103908	32424	0	0	0	0	50	0	2558304	1	1
DCHS1	424523	491	17	922572	334026	0	0	0	0	7	0	617274	1	1
DCHS2	63258	1024	3	1077636	317814	0	0	0	0	4	0	490224	1	1
DCI	2199935	194	42	89418	28392	0	0	0	0	50	1	2533860	1	1
DCK	267678	690	22	82446	19236	0	0	0	0	48	0	2767548	1	1
DCLK2	88181	409	-4	230790	66948	0	0	0	0	50	2	2496144	1	1
DCLK3	374894	617	-14	193956	52878	0	0	0	0	50	1	1824816	1	1
DCLRE1A	264051	515	7	314832	82698	0	0	0	0	50	0	2599842	1	1
DCLRE1B	335231	545	13	156366	46620	0	0	0	0	50	2	2333478	1	1
DCLRE1C	255711	396	38	213738	55020	0	0	0	0	50	1	2431170	1	1
DCN	24351	591	-19	109536	30072	0	0	0	0	50	1	2125368	1	1
DCP1A	782208	167	43	173376	51534	0	0	0	0	50	3	2751588	1	1
DCP1B	232517	618	29	184212	53676	0	0	0	0	50	0	2239272	1	1
DCP2	274112	439	25	132930	31248	0	0	0	0	50	0	2376948	1	1
DCPS	367696	426	30	100884	29400	0	0	0	0	50	0	2917026	1	1
DCST1	1696720	214	44	214074	61488	0	0	0	0	50	0	2830086	1	1
DCST2	1654795	214	40	229992	70392	0	0	0	0	50	0	2921436	1	1
DCT	123751	906	0	168168	45402	0	0	0	0	50	0	2152332	1	1
DCTD	204483	431	-12	60648	13692	0	0	0	0	50	0	2479386	1	1
DCTN1	1086740	343	42	387450	112896	0	0	0	0	50	0	2169174	1	1
DCTN2	1347795	303	44	123690	34944	0	0	0	0	50	1	3493938	1	1
DCTN3	731413	298	51	68040	18144	0	0	0	0	50	0	1918476	1	1
DCTN4	1015949	211	43	145446	38262	0	0	0	0	50	0	2786742	1	1
DCTN5	544239	561	38	57120	14826	0	0	0	0	50	1	2790186	1	1
DCTN6	452029	297	47	59892	15582	0	0	0	0	50	0	2537556	1	1
DCTPP1	2338593	142	59	49896	16002	0	0	0	0	50	0	2596776	1	1
DCUN1D1	232043	574	13	83412	18144	0	0	0	0	50	2	2072112	1	1
DCUN1D2	806605	318	46	82194	19362	0	0	0	0	50	0	2880696	1	1
DCUN1D3	252367	503	32	90888	24906	0	0	0	0	50	0	2432052	1	1
DCUN1D4	70055	766	17	95130	20664	0	0	0	0	50	0	2324070	1	1
DCUN1D5	166625	585	-9	76314	17178	0	0	0	0	50	2	2510634	1	1
DCX	131531	NaN	13	135366	36624	0	0	0	0	50	0	2434656	1	1
DCXR	3814891	211	28	73248	23394	0	0	0	0	50	0	2105334	1	1
DDA1	842088	211	43	32634	8316	0	0	0	0	50	0	2553012	1	1
DDAH1	309815	308	0	86016	24612	0	0	0	0	50	0	3122322	1	1
DDAH2	2517236	193	20	82026	29106	0	0	0	0	50	0	3240258	1	1
DDB1	1259416	286	50	348978	95424	0	0	0	0	50	2	2424702	1	1
DDB2	1274054	198	38	130494	35826	0	0	0	0	50	0	2171148	1	1
DDHD1	306643	448	20	273756	76020	0	0	0	0	50	0	2896950	1	1
DDHD2	734603	277	44	226968	58296	0	0	0	0	50	0	2503536	1	1
DDI1	NaN	NaN	NaN	115290	34776	0	0	0	0	50	1	4712064	1	1
DDI2	677127	162	28	122136	33852	0	0	0	0	50	0	1982022	1	1
DDIT3	1347795	303	44	50694	14574	0	0	0	0	50	1	3493938	1	1
DDIT4	808655	145	40	66780	22302	0	0	0	0	50	1	2134188	1	1
DDIT4L	193061	795	-8	57960	16380	0	0	0	0	50	0	2325834	1	1
DDN	1737773	214	55	199500	70392	0	0	0	0	50	0	2191182	1	1
DDO	248863	469	20	109158	32970	0	0	0	0	50	0	2696274	1	1
DDOST	631461	208	35	137928	39858	0	0	0	0	50	0	2579724	1	1
DDR1	2223866	223	25	272202	84126	0	0	0	0	50	0	2733360	1	1
DDR2	322980	293	9	261366	70266	0	0	0	0	50	0	2665068	1	1
DDRGK1	909603	255	55	95172	28182	0	0	0	0	50	1	2019864	1	1
DDT	NaN	NaN	NaN	35448	11298	0	0	0	0	50	1	4688586	1	1
DDTL	NaN	NaN	NaN	39648	12642	0	0	0	0	50	1	4689930	1	1
DDX1	186504	1386	10	235368	57330	0	0	0	0	50	0	2621094	1	1
DDX10	250455	616	2	272958	66990	0	0	0	0	50	0	2471154	1	1
DDX11	335562	591	-4	305550	75222	0	0	0	0	50	1	1846446	1	1
DDX17	1313632	177	31	219912	62958	0	0	0	0	50	0	2535372	1	1
DDX18	194969	760	-7	206094	54348	0	0	0	0	50	1	2798082	1	1
DDX19A	1126886	134	44	148428	38430	0	0	0	0	50	0	2634618	1	1
DDX19B	1317982	139	47	148512	38472	0	0	0	0	50	0	2767674	1	1
DDX20	333198	440	25	249606	67284	0	0	0	0	50	1	2499378	1	1
DDX21	860888	246	52	239988	63672	0	0	0	0	50	1	2181522	1	1
DDX23	1655612	214	57	249396	68754	0	0	0	0	50	0	2352882	1	1
DDX24	200295	605	47	257334	71778	0	0	0	0	50	0	2270436	1	1
DDX25	611330	414	14	149730	38766	0	0	0	0	50	0	2397486	1	1
DDX26B	236195	NaN	25	261912	71988	0	0	0	0	50	0	2592408	1	1
DDX27	886628	261	50	245952	65646	0	0	0	0	50	1	2840124	1	1
DDX28	863919	158	54	150570	54180	0	0	0	0	50	1	2695308	1	1
DDX39	954144	204	43	131922	34902	0	0	0	0	50	0	2629662	1	1
DDX3Y	0	0	0	205380	53046	0	0	0	0	50	0	2497992	1	1
DDX4	331341	486	34	230454	59346	0	0	0	0	50	0	2133306	1	1
DDX41	1120311	347	41	191562	52248	0	0	0	0	50	0	2351706	1	1
DDX42	1259976	346	12	286440	77070	0	0	0	0	50	0	2982210	1	1
DDX43	723493	232	21	201054	52332	0	0	0	0	50	1	2414454	1	1
DDX46	893816	193	36	319284	81900	0	0	0	0	50	0	2727984	1	1
DDX47	742991	129	27	138726	39438	0	0	0	0	50	1	2631510	1	1
DDX49	1390116	198	20	145866	43386	0	0	0	0	30	0	1407588	1	1
DDX5	1171555	184	15	189084	49434	0	0	0	0	11	0	516642	1	1
DDX50	897697	246	45	224490	61530	0	0	0	0	50	0	2845080	1	1
DDX51	608356	528	26	196182	63252	0	0	0	0	50	0	2664984	1	1
DDX52	585337	340	23	185472	48636	0	0	0	0	50	0	2557338	1	1
DDX53	86947	NaN	6	187572	51576	0	0	0	0	50	2	2276148	1	1
DDX54	468053	252	35	263424	80178	0	0	0	0	50	0	2499294	1	1
DDX55	929791	224	44	185094	48888	0	0	0	0	50	0	3063816	1	1
DDX56	1462615	191	56	163926	49770	0	0	0	0	50	0	2272620	1	1
DDX58	426359	362	-12	289422	69174	0	0	0	0	50	1	2597742	1	1
DDX59	371965	276	13	186774	51114	0	0	0	0	50	0	2905560	1	1
DDX6	1493911	154	36	149730	39270	0	0	0	0	50	0	3035214	1	1
DDX60	83741	350	-10	532350	133308	0	0	0	0	17	0	1108968	1	1
DDX60L	134820	238	-11	531804	131586	0	0	0	0	9	0	694302	1	1
DEAF1	1774224	236	57	168294	51198	0	0	0	0	50	0	2107980	1	1
DEC1	117692	604	-17	23142	5712	0	0	0	0	35	0	2054724	1	1
DECR1	272948	534	25	102354	29442	0	0	0	0	50	0	2235576	1	1
DECR2	1549307	207	37	87066	27468	0	0	0	0	50	0	3062178	1	1
DEDD	NaN	NaN	NaN	94920	27678	0	0	0	0	50	1	4704966	1	1
DEDD2	790787	299	37	92568	33054	0	0	0	0	50	0	3006654	1	1
DEF6	682809	264	39	191604	52584	0	0	0	0	50	0	2983344	1	1
DEF8	1056657	221	35	164556	45234	0	0	0	0	50	0	1934142	1	1
DEFA1	NaN	NaN	NaN	86142	24612	0	0	0	0	50	1	4701900	1	1
DEFA1B	132154	699	-1	86142	24612	0	0	0	0	50	0	2526930	1	1
DEFA3	132154	699	-1	28770	8148	0	0	0	0	50	0	2526930	1	1
DEFA4	131884	628	11	29190	8862	0	0	0	0	50	0	2353848	1	1
DEFA5	124400	715	-3	27888	8778	0	0	0	0	50	0	2150400	1	1
DEFA6	131884	628	11	30408	8526	0	0	0	0	50	0	2353848	1	1
DEFB1	131884	628	11	21042	5544	0	0	0	0	50	0	2353848	1	1
DEFB103A	NaN	NaN	NaN	42504	11424	0	0	0	0	50	1	4688712	1	1
DEFB103B	NaN	NaN	NaN	42504	11424	0	0	0	0	50	1	4688712	1	1
DEFB104A	NaN	NaN	NaN	45696	11508	0	0	0	0	50	1	4688796	1	1
DEFB104B	NaN	NaN	NaN	45696	11508	0	0	0	0	50	1	4688796	1	1
DEFB105A	NaN	NaN	NaN	49980	11508	0	0	0	0	50	1	4688796	1	1
DEFB105B	NaN	NaN	NaN	49980	11508	0	0	0	0	50	1	4688796	1	1
DEFB106A	NaN	NaN	NaN	42168	9744	0	0	0	0	31	1	2070642	1	1
DEFB106B	NaN	NaN	NaN	42168	9744	0	0	0	0	31	1	2070642	1	1
DEFB107A	NaN	NaN	NaN	44772	10920	0	0	0	0	50	1	4688208	1	1
DEFB107B	NaN	NaN	NaN	44772	10920	0	0	0	0	50	1	4688208	1	1
DEFB108B	727046	465	37	22680	5670	0	0	0	0	36	0	1864884	1	1
DEFB110	70183	1258	-7	36372	6972	0	0	0	0	45	0	1807848	1	1
DEFB112	65301	1242	-3	34944	8526	0	0	0	0	50	0	2191812	1	1
DEFB113	70183	1258	-7	25116	5754	0	0	0	0	45	0	1807848	1	1
DEFB114	70183	1258	-7	22050	4788	0	0	0	0	45	0	1807848	1	1
DEFB115	562665	594	-29	27132	7014	0	0	0	0	50	1	2024148	1	1
DEFB116	562665	594	-29	31752	7560	0	0	0	0	50	1	2024148	1	1
DEFB118	591819	594	-83	37296	10332	0	0	0	0	21	0	836892	1	1
DEFB119	591819	594	-83	52542	12348	0	0	0	0	21	0	836892	1	1
DEFB121	598822	450	-79	26040	6846	0	0	0	0	23	0	806484	1	1
DEFB123	605825	450	-76	21588	5124	0	0	0	0	16	0	591780	1	1
DEFB124	605825	450	-76	21672	6048	0	0	0	0	16	0	591780	1	1
DEFB125	86	430	NaN	46158	13692	0	0	0	0	50	1	2184210	1	1
DEFB126	215351	430	25	33894	9450	0	0	0	0	50	0	2037882	1	1
DEFB127	215351	430	25	30282	8022	0	0	0	0	50	0	2037882	1	1
DEFB128	215351	430	25	28686	7350	0	0	0	0	50	0	2037882	1	1
DEFB129	1010597	348	24	55272	15036	0	0	0	0	50	0	2575188	1	1
DEFB130	475312	625	0	48216	13272	0	0	0	0	50	0	2669520	1	1
DEFB131	176573	885	12	22386	4830	0	0	0	0	34	0	1503012	1	1
DEFB132	1010597	348	24	29190	7854	0	0	0	0	50	0	2575188	1	1
DEFB133	NaN	NaN	NaN	19530	4410	0	0	0	0	28	1	1541946	1	1
DEFB134	467502	451	22	20916	4788	0	0	0	0	41	2	1973076	1	1
DEFB135	467502	451	22	23520	6468	0	0	0	0	41	2	1973076	1	1
DEFB136	467502	451	22	24024	6090	0	0	0	0	41	2	1973076	1	1
DEFB4A	69060	693	-5	19950	5376	0	0	0	0	50	0	2505300	1	1
DEGS1	638932	174	13	98364	25116	0	0	0	0	50	1	2503116	1	1
DEGS2	405420	237	39	94080	29652	0	0	0	0	50	0	2182110	1	1
DEK	467694	497	4	120456	26712	0	0	0	0	50	1	2264640	1	1
DEM1	701723	457	31	109662	32214	0	0	0	0	50	0	2843736	1	1
DENND1A	314875	517	32	311094	94500	0	0	0	0	50	1	2865030	1	1
DENND1B	206539	480	-21	246288	63294	0	0	0	0	50	0	3016818	1	1
DENND1C	865106	219	33	241458	73038	0	0	0	0	50	0	2472120	1	1
DENND2A	356082	503	31	302526	87822	0	0	0	0	50	0	2321340	1	1
DENND2C	626568	394	8	268296	69384	0	0	0	0	50	0	2278080	1	1
DENND2D	400425	627	41	145110	38850	0	0	0	0	50	0	2416764	1	1
DENND3	360825	204	51	364266	100044	0	0	0	0	50	0	2282700	1	1
DENND4A	522427	240	42	583254	153216	0	0	0	0	50	0	1864548	1	1
DENND4B	2028800	222	34	434994	144480	0	0	0	0	50	0	2156952	1	1
DENND4C	499163	277	13	511308	135324	0	0	0	0	50	1	2668806	1	1
DENND5A	672390	330	31	391524	106428	0	0	0	0	50	0	2828910	1	1
DENND5B	300830	361	17	388206	103824	0	0	0	0	50	0	2845122	1	1
DENR	1042095	227	42	64176	14574	0	0	0	0	50	0	2427306	1	1
DEPDC1	196163	601	-18	249312	63168	0	0	0	0	50	2	2862720	1	1
DEPDC1B	166902	679	13	163632	42000	0	0	0	0	50	0	2143848	1	1
DEPDC4	184616	650	3	90594	23184	0	0	0	0	50	0	2404584	1	1
DEPDC5	557139	336	19	495768	130578	0	0	0	0	50	0	2605638	1	1
DEPDC6	244861	712	8	126630	32382	0	0	0	0	50	0	2511054	1	1
DEPDC7	415951	215	25	162708	41160	0	0	0	0	50	0	2016966	1	1
DERA	328516	534	10	97524	27090	0	0	0	0	50	2	2256702	1	1
DERL1	470881	412	33	78036	20748	0	0	0	0	50	0	2413992	1	1
DERL2	1145030	544	24	74256	19740	0	0	0	0	50	1	2596902	1	1
